"customerkey","geographykey","customeralternatekey","firstname","middlename","lastname","maritalstatus","gender","yearlyincome","totalchildren","englishoccupation","datefirstpurchase"
11030,28,"AW00011030","Bethany","G","Yuan","M","F",10000.0,2,"Clerical","2020-02-05"
11031,8,"AW00011031","Theresa","G","Ramos","M","F",20000.0,4,"Skilled Manual","2020-02-01"
11032,35,"AW00011032","Denise",NULL,"Stone","M","F",20000.0,4,"Skilled Manual","2020-02-18"
11033,9,"AW00011033","Jaime",NULL,"Nath","M","M",20000.0,4,"Skilled Manual","2020-02-15"
11034,12,"AW00011034","Ebony",NULL,"Gonzalez","M","F",20000.0,4,"Skilled Manual","2020-02-01"
11035,33,"AW00011035","Wendy",NULL,"Dominguez","M","F",10000.0,2,"Clerical","2020-02-06"
11036,343,"AW00011036","Jennifer","C","Russell","M","F",60000.0,0,"Skilled Manual","2022-01-22"
11037,49,"AW00011037","Chloe","M","Garcia","S","F",40000.0,0,"Clerical","2022-01-20"
11038,6,"AW00011038","Diana","F","Hernandez","M","F",10000.0,2,"Clerical","2020-02-07"
11039,19,"AW00011039","Marc","J","Martin","M","M",30000.0,3,"Clerical","2020-02-07"
11040,642,"AW00011040","Jesse",NULL,"Murphy","M","M",30000.0,0,"Skilled Manual","2022-04-03"
11041,325,"AW00011041","Amanda","M","Carter","M","F",60000.0,0,"Skilled Manual","2022-01-14"
11042,338,"AW00011042","Megan","J","Sanchez","M","F",70000.0,0,"Skilled Manual","2022-01-21"
11043,325,"AW00011043","Nathan","M","Simmons","M","M",60000.0,0,"Skilled Manual","2022-05-08"
11044,25,"AW00011044","Adam","L","Flores","M","M",20000.0,2,"Clerical","2020-02-28"
11045,8,"AW00011045","Leonard","G","Nara","S","M",30000.0,3,"Skilled Manual","2022-04-10"
11046,6,"AW00011046","Christine",NULL,"Yuan","M","F",30000.0,3,"Skilled Manual","2020-02-06"
11047,34,"AW00011047","Jaclyn","D","Lu","M","F",30000.0,3,"Skilled Manual","2020-02-03"
11048,39,"AW00011048","Jeremy",NULL,"Powell","M","M",30000.0,3,"Skilled Manual","2020-02-10"
11049,307,"AW00011049","Carol","C","Rai","S","F",40000.0,0,"Clerical","2022-03-09"
11050,31,"AW00011050","Alan",NULL,"Zheng","M","M",30000.0,3,"Skilled Manual","2020-02-20"
11051,21,"AW00011051","Daniel",NULL,"Johnson","S","M",30000.0,3,"Skilled Manual","2022-12-29"
11052,8,"AW00011052","Heidi",NULL,"Lopez","S","F",40000.0,2,"Clerical","2020-02-17"
11053,359,"AW00011053","Ana","E","Price","M","F",60000.0,0,"Skilled Manual","2022-01-17"
11054,34,"AW00011054","Deanna",NULL,"Munoz","M","F",40000.0,2,"Skilled Manual","2020-02-03"
11055,22,"AW00011055","Gilbert",NULL,"Raje","M","M",40000.0,2,"Skilled Manual","2020-01-31"
11056,10,"AW00011056","Michele","L","Nath","M","F",40000.0,3,"Skilled Manual","2020-02-26"
11057,5,"AW00011057","Carl","J","Andersen","M","M",70000.0,2,"Management","2020-02-22"
11058,29,"AW00011058","Marc",NULL,"Diaz","M","M",80000.0,2,"Skilled Manual","2020-03-09"
11059,27,"AW00011059","Ashlee","J","Andersen","S","F",80000.0,2,"Skilled Manual","2022-02-18"
11060,40,"AW00011060","Jon","L","Zhou","M","M",80000.0,2,"Skilled Manual","2020-03-19"
11061,23,"AW00011061","Todd","M","Gao","M","M",80000.0,2,"Skilled Manual","2020-03-13"
11062,547,"AW00011062","Noah","D","Powell","M","M",40000.0,0,"Skilled Manual","2022-01-07"
11063,634,"AW00011063","Angela",NULL,"Murphy","S","F",40000.0,0,"Skilled Manual","2022-01-12"
11064,315,"AW00011064","Chase",NULL,"Reed","M","M",40000.0,0,"Skilled Manual","2022-01-25"
11065,331,"AW00011065","Jessica",NULL,"Henderson","M","F",60000.0,0,"Skilled Manual","2022-02-10"
11066,543,"AW00011066","Grace","T","Butler","M","F",70000.0,0,"Professional","2022-05-31"
11067,632,"AW00011067","Caleb","F","Carter","S","M",60000.0,0,"Professional","2022-08-18"
11068,40,"AW00011068","Tiffany",NULL,"Liang","S","F",80000.0,2,"Skilled Manual","2022-04-30"
11069,23,"AW00011069","Carolyn",NULL,"Navarro","S","F",80000.0,2,"Skilled Manual","2020-04-17"
11070,39,"AW00011070","Willie","T","Raji","M","M",80000.0,2,"Skilled Manual","2020-04-28"
11071,24,"AW00011071","Linda",NULL,"Serrano","S","F",80000.0,2,"Skilled Manual","2022-03-01"
11072,17,"AW00011072","Casey",NULL,"Luo","S","F",80000.0,2,"Skilled Manual","2020-03-31"
11073,16,"AW00011073","Amy",NULL,"Ye","S","F",70000.0,2,"Skilled Manual","2022-03-23"
11074,28,"AW00011074","Levi","A","Arun","S","M",70000.0,2,"Skilled Manual","2022-03-23"
11075,32,"AW00011075","Felicia","L","Jimenez","S","F",80000.0,2,"Professional","2020-04-28"
11076,19,"AW00011076","Blake",NULL,"Anderson","S","M",80000.0,2,"Professional","2020-04-21"
11077,36,"AW00011077","Leah",NULL,"Ye","S","F",80000.0,2,"Professional","2020-04-15"
11078,49,"AW00011078","Gina","E","Martin","S","F",40000.0,0,"Professional","2022-02-15"
11079,34,"AW00011079","Donald",NULL,"Gonzalez","S","M",160000.0,0,"Management","2022-03-15"
11080,30,"AW00011080","Damien",NULL,"Chander","M","M",170000.0,0,"Management","2020-04-10"
11081,311,"AW00011081","Savannah","C","Baker","M","F",120000.0,2,"Management","2022-02-12"
11082,322,"AW00011082","Angela","L","Butler","S","F",130000.0,0,"Management","2022-01-22"
11083,336,"AW00011083","Alyssa","F","Cox","M","F",130000.0,0,"Management","2022-01-06"
11084,543,"AW00011084","Lucas",NULL,"Phillips","S","M",80000.0,2,"Skilled Manual","2022-01-04"
11085,345,"AW00011085","Emily",NULL,"Johnson","S","F",60000.0,2,"Professional","2022-12-06"
11086,369,"AW00011086","Ryan",NULL,"Brown","M","M",70000.0,2,"Professional","2022-07-02"
11087,307,"AW00011087","Tamara","L","Liang","M","F",70000.0,3,"Professional","2022-02-25"
11088,359,"AW00011088","Hunter",NULL,"Davis","M","M",80000.0,2,"Management","2022-01-13"
11089,337,"AW00011089","Abigail","M","Price","S","F",80000.0,2,"Management","2021-12-29"
11090,338,"AW00011090","Trevor",NULL,"Bryant","S","M",90000.0,2,"Professional","2020-08-07"
11091,50,"AW00011091","Dalton",NULL,"Perez","M","M",90000.0,2,"Professional","2022-01-29"
11092,22,"AW00011092","Cheryl","A","Diaz","M","F",90000.0,2,"Professional","2020-04-08"
11093,19,"AW00011093","Aimee","A","He","M","F",100000.0,0,"Management","2020-04-07"
11094,33,"AW00011094","Cedric","W","Ma","S","M",70000.0,1,"Skilled Manual","2022-04-07"
11095,13,"AW00011095","Chad",NULL,"Kumar","S","M",70000.0,1,"Skilled Manual","2020-04-01"
11096,12,"AW00011096","Andrés",NULL,"Anand","M","M",60000.0,1,"Professional","2020-04-11"
11097,40,"AW00011097","Edwin","R","Nara","M","M",60000.0,1,"Skilled Manual","2020-04-04"
11098,14,"AW00011098","Mallory","S","Rubio","S","F",60000.0,1,"Skilled Manual","2022-02-11"
11099,13,"AW00011099","Adam",NULL,"Ross","M","M",60000.0,1,"Professional","2020-04-07"
11100,28,"AW00011100","Latasha","L","Navarro","S","F",60000.0,1,"Skilled Manual","2020-04-16"
11101,33,"AW00011101","Abby","L","Sai","S","F",70000.0,0,"Professional","2020-04-29"
11102,18,"AW00011102","Julia","L","Nelson","S","F",80000.0,5,"Professional","2022-07-16"
11103,3,"AW00011103","Cassie",NULL,"Chande","S","F",70000.0,0,"Professional","2020-04-15"
11104,23,"AW00011104","Edgar","A","Sara","M","M",70000.0,0,"Professional","2020-05-04"
11105,8,"AW00011105","Candace",NULL,"Fernandez","S","F",70000.0,0,"Professional","2020-05-14"
11106,40,"AW00011106","Jessie",NULL,"Liu","S","M",70000.0,0,"Professional","2020-05-18"
11107,17,"AW00011107","Bianca",NULL,"Lin","M","F",90000.0,1,"Professional","2020-05-01"
11108,13,"AW00011108","Kari","C","Alvarez","S","F",70000.0,0,"Professional","2020-05-03"
11109,38,"AW00011109","Ruben","D","Kapoor","S","M",70000.0,0,"Professional","2020-05-10"
11110,3,"AW00011110","Curtis",NULL,"Yang","M","M",60000.0,1,"Skilled Manual","2020-05-01"
11111,34,"AW00011111","Meredith","T","Gutierrez","M","F",60000.0,1,"Skilled Manual","2020-05-20"
11112,25,"AW00011112","Crystal","C","Wang","M","F",60000.0,1,"Skilled Manual","2020-05-25"
11113,30,"AW00011113","Micheal","A","Blanco","M","M",70000.0,5,"Professional","2022-02-01"
11114,14,"AW00011114","Leslie","C","Moreno","S","F",70000.0,5,"Skilled Manual","2022-03-18"
11115,17,"AW00011115","Alvin","D","Cai","M","M",70000.0,5,"Skilled Manual","2022-02-10"
11116,18,"AW00011116","Clinton","E","Carlson","M","M",70000.0,5,"Skilled Manual","2022-03-15"
11117,8,"AW00011117","April",NULL,"Deng","M","F",70000.0,5,"Skilled Manual","2020-05-06"
11118,6,"AW00011118","Alvin","M","Zeng","S","M",80000.0,1,"Skilled Manual","2022-07-10"
11119,13,"AW00011119","Evan","V","James","S","M",30000.0,2,"Clerical","2022-02-03"
11120,18,"AW00011120","Beth","H","Jiménez","S","F",40000.0,2,"Management","2020-05-14"
11121,10,"AW00011121","Orlando",NULL,"Suarez","M","M",70000.0,5,"Skilled Manual","2022-06-24"
11122,12,"AW00011122","Byron",NULL,"Vazquez","M","M",70000.0,5,"Skilled Manual","2022-02-21"
11123,39,"AW00011123","Philip","A","Alvarez","M","M",70000.0,5,"Skilled Manual","2022-04-17"
11124,40,"AW00011124","Ross","F","Jordan","S","M",80000.0,1,"Skilled Manual","2020-05-05"
11125,37,"AW00011125","Dana","J","Navarro","S","F",70000.0,1,"Skilled Manual","2022-01-31"
11126,11,"AW00011126","Shaun",NULL,"Carson","M","M",10000.0,2,"Skilled Manual","2020-05-28"
11127,361,"AW00011127","Jan",NULL,"Edwards","M","F",40000.0,0,"Skilled Manual","2022-04-10"
11128,635,"AW00011128","Samantha",NULL,"Long","M","F",40000.0,0,"Skilled Manual","2022-06-19"
11129,638,"AW00011129","Julia","M","Wright","S","F",40000.0,0,"Skilled Manual","2020-08-06"
11130,543,"AW00011130","Caroline","L","Russell","M","F",30000.0,0,"Skilled Manual","2022-12-09"
11131,50,"AW00011131","Amanda",NULL,"Rivera","M","F",30000.0,0,"Skilled Manual","2022-10-18"
11132,51,"AW00011132","Melissa","E","Richardson","S","F",30000.0,0,"Skilled Manual","2022-04-09"
11133,542,"AW00011133","Angela",NULL,"Griffin","S","F",30000.0,0,"Clerical","2022-12-30"
11134,30,"AW00011134","Larry","D","Townsend","S","M",10000.0,5,"Skilled Manual","2020-05-03"
11135,302,"AW00011135","Marcus","L","Harris","S","M",30000.0,0,"Clerical","2022-04-18"
11136,53,"AW00011136","Brianna","D","Morgan","S","F",40000.0,0,"Skilled Manual","2022-01-03"
11137,641,"AW00011137","Jasmine","A","Taylor","M","F",40000.0,0,"Skilled Manual","2022-07-31"
11138,325,"AW00011138","Lauren",NULL,"Davis","M","F",40000.0,0,"Skilled Manual","2022-09-19"
11139,28,"AW00011139","Tanya",NULL,"Moreno","S","F",30000.0,2,"Clerical","2022-09-14"
11140,301,"AW00011140","Javier","L","Alvarez","S","M",30000.0,0,"Clerical","2022-03-19"
11141,314,"AW00011141","Nicole",NULL,"Ramirez","M","F",40000.0,0,"Skilled Manual","2022-05-16"
11142,51,"AW00011142","Eduardo",NULL,"Patterson","S","M",40000.0,0,"Skilled Manual","2022-02-13"
11143,334,"AW00011143","Jonathan","M","Henderson","M","M",40000.0,0,"Skilled Manual","2022-06-15"
11144,607,"AW00011144","Edward",NULL,"Hernandez","S","M",40000.0,0,"Skilled Manual","2022-01-25"
11145,536,"AW00011145","Jasmine","L","Coleman","S","F",40000.0,0,"Skilled Manual","2022-01-25"
11146,8,"AW00011146","Karla","L","Goel","S","F",40000.0,2,"Management","2022-02-05"
11147,40,"AW00011147","Ernest","L","Wu","M","M",60000.0,2,"Management","2020-05-13"
11148,22,"AW00011148","Ross",NULL,"Vazquez","M","M",40000.0,2,"Management","2022-03-07"
11149,25,"AW00011149","Theodore",NULL,"Gill","M","M",40000.0,2,"Management","2022-06-04"
11150,39,"AW00011150","Russell","M","Shen","S","M",40000.0,2,"Management","2022-03-27"
11151,18,"AW00011151","Melinda","G","Gill","S","F",60000.0,2,"Management","2020-05-15"
11152,633,"AW00011152","James","J","Williams","S","M",40000.0,0,"Skilled Manual","2022-01-09"
11153,635,"AW00011153","Angela","R","James","M","F",40000.0,0,"Skilled Manual","2022-03-29"
11154,553,"AW00011154","Megan","G","Walker","S","F",40000.0,0,"Skilled Manual","2022-01-10"
11155,301,"AW00011155","Hunter","J","Robinson","S","M",40000.0,0,"Skilled Manual","2022-01-06"
11156,334,"AW00011156","Maria",NULL,"Roberts","S","F",40000.0,0,"Skilled Manual","2022-01-08"
11157,642,"AW00011157","Hannah","E","Long","M","F",40000.0,0,"Skilled Manual","2022-07-24"
11158,361,"AW00011158","Jason","K","Wright","S","M",40000.0,0,"Skilled Manual","2022-01-19"
11159,385,"AW00011159","Brianna","A","Hughes","S","F",40000.0,0,"Skilled Manual","2022-09-08"
11160,311,"AW00011160","Maurice","M","Tang","S","M",40000.0,0,"Skilled Manual","2022-02-21"
11161,311,"AW00011161","Emily",NULL,"Wood","S","F",40000.0,0,"Skilled Manual","2022-06-01"
11162,331,"AW00011162","Chase",NULL,"Cox","S","M",40000.0,0,"Skilled Manual","2022-02-18"
11163,372,"AW00011163","Gabriel",NULL,"Wang","M","M",40000.0,0,"Skilled Manual","2022-05-01"
11164,374,"AW00011164","Devin",NULL,"Brooks","S","M",40000.0,0,"Skilled Manual","2022-04-27"
11165,348,"AW00011165","Jocelyn",NULL,"Alexander","M","F",60000.0,0,"Skilled Manual","2022-05-25"
11166,631,"AW00011166","Ashley",NULL,"Martinez","S","F",70000.0,0,"Skilled Manual","2022-10-14"
11167,618,"AW00011167","Jasmine","J","Barnes","S","F",80000.0,0,"Management","2022-01-07"
11168,348,"AW00011168","David",NULL,"Rodriguez","S","M",80000.0,0,"Management","2022-01-15"
11169,312,"AW00011169","Bryce",NULL,"Richardson","M","M",90000.0,4,"Management","2022-05-26"
11170,612,"AW00011170","Carol","T","Howard","M","F",90000.0,4,"Management","2022-08-26"
11171,385,"AW00011171","Jonathan","E","Hill","S","M",100000.0,1,"Management","2020-08-20"
11172,626,"AW00011172","Gabrielle","J","Adams","M","F",100000.0,1,"Management","2022-05-03"
11173,552,"AW00011173","Sarah","F","Thomas","S","F",110000.0,0,"Management","2022-03-02"
11174,338,"AW00011174","Nicholas",NULL,"Robinson","M","M",110000.0,0,"Management","2022-07-13"
11175,300,"AW00011175","Luis",NULL,"Wang","S","M",70000.0,0,"Skilled Manual","2020-08-28"
11176,50,"AW00011176","Mason","D","Roberts","M","M",90000.0,4,"Management","2022-02-02"
11177,359,"AW00011177","Jose","M","Flores","M","M",110000.0,2,"Management","2022-03-29"
11178,334,"AW00011178","Nathan","J","Johnson","M","M",100000.0,2,"Management","2022-02-21"
11179,300,"AW00011179","Molly","E","Rodriguez","M","F",120000.0,2,"Management","2022-03-12"
11180,307,"AW00011180","April",NULL,"Anand","M","F",160000.0,1,"Management","2022-03-17"
11181,338,"AW00011181","Devin","P","Martin","M","M",170000.0,2,"Management","2022-05-07"
11182,638,"AW00011182","Stephanie",NULL,"Torres","S","F",70000.0,4,"Management","2022-08-28"
11183,368,"AW00011183","Jasmine","W","Lee","S","F",70000.0,4,"Management","2022-04-30"
11184,311,"AW00011184","Meghan",NULL,"Hernandez","S","F",70000.0,4,"Management","2022-08-10"
11185,53,"AW00011185","Ashley",NULL,"Henderson","S","F",70000.0,4,"Management","2022-02-21"
11186,352,"AW00011186","Sarah","C","Price","S","F",70000.0,4,"Management","2022-10-18"
11187,612,"AW00011187","Jennifer","S","Cooper","M","F",60000.0,4,"Management","2022-04-03"
11188,361,"AW00011188","Catherine",NULL,"Morris","M","F",60000.0,4,"Management","2022-11-01"
11189,609,"AW00011189","Lawrence","W","Blanco","S","M",60000.0,4,"Management","2020-08-26"
11190,300,"AW00011190","Carson",NULL,"Bryant","M","M",70000.0,5,"Management","2022-08-28"
11191,310,"AW00011191","Kristi","E","Perez","S","F",70000.0,5,"Management","2020-08-11"
11192,637,"AW00011192","James","C","Brown","M","M",60000.0,4,"Management","2022-06-23"
11193,553,"AW00011193","Ian","A","Gray","M","M",60000.0,4,"Management","2022-02-25"
11194,352,"AW00011194","Jacqueline","R","Price","M","F",60000.0,4,"Management","2022-03-13"
11195,635,"AW00011195","Megan",NULL,"Henderson","M","F",60000.0,5,"Management","2022-04-14"
11196,536,"AW00011196","Alfredo",NULL,"Romero","M","M",60000.0,5,"Management","2022-03-03"
11197,637,"AW00011197","Andrea",NULL,"Morris","M","F",70000.0,3,"Management","2022-05-02"
11198,368,"AW00011198","Brooke",NULL,"Sanders","S","F",70000.0,4,"Management","2022-02-05"
11199,302,"AW00011199","Jacqueline",NULL,"Bennett","M","F",70000.0,4,"Management","2022-03-18"
11200,69,"AW00011200","Jason","L","Griffin","M","M",70000.0,4,"Management","2022-02-07"
11201,369,"AW00011201","Amanda",NULL,"Foster","M","F",70000.0,4,"Management","2022-07-01"
11202,334,"AW00011202","Alexia","L","Price","M","F",80000.0,5,"Management","2022-09-15"
11203,60,"AW00011203","Luis","D","Diaz","M","M",40000.0,2,"Professional","2022-02-20"
11204,536,"AW00011204","Destiny","C","Rivera","M","F",40000.0,2,"Professional","2022-08-09"
11205,612,"AW00011205","Abby",NULL,"Fernandez","M","F",40000.0,2,"Professional","2022-07-27"
11206,626,"AW00011206","Blake",NULL,"Flores","M","M",60000.0,2,"Professional","2022-05-11"
11207,635,"AW00011207","Danielle",NULL,"Cox","S","F",60000.0,2,"Professional","2022-01-31"
11208,325,"AW00011208","Maria",NULL,"Reed","M","F",60000.0,2,"Management","2022-03-04"
11209,336,"AW00011209","Allison",NULL,"Evans","M","F",60000.0,2,"Management","2022-03-25"
11210,383,"AW00011210","Edward","J","Wood","M","M",70000.0,4,"Professional","2022-05-06"
11211,50,"AW00011211","Samantha",NULL,"Russell","M","F",40000.0,2,"Professional","2022-02-01"
11212,53,"AW00011212","Chloe",NULL,"Campbell","M","F",40000.0,2,"Professional","2022-01-30"
11213,614,"AW00011213","Stephanie","B","Murphy","S","F",60000.0,2,"Professional","2022-03-28"
11214,545,"AW00011214","Charles","O","Miller","S","M",60000.0,2,"Professional","2022-08-14"
11215,62,"AW00011215","Ana",NULL,"Perry","M","F",40000.0,2,"Skilled Manual","2022-02-15"
11216,547,"AW00011216","Jasmine","A","Torres","S","F",60000.0,2,"Professional","2020-08-15"
11217,547,"AW00011217","Natalie","P","Adams","S","F",60000.0,2,"Professional","2020-08-10"
11218,642,"AW00011218","Olivia",NULL,"Brown","S","F",60000.0,2,"Professional","2022-02-28"
11219,553,"AW00011219","Charles",NULL,"Cook","M","M",60000.0,2,"Professional","2022-10-29"
11220,310,"AW00011220","Erica","C","Huang","M","F",60000.0,2,"Professional","2022-03-14"
11221,334,"AW00011221","Nathan",NULL,"Perry","M","M",70000.0,4,"Professional","2022-04-07"
11222,369,"AW00011222","Alexandra",NULL,"Rivera","M","F",80000.0,3,"Management","2022-11-01"
11223,52,"AW00011223","Hailey","I","Patterson","S","F",70000.0,2,"Professional","2022-01-29"
11224,612,"AW00011224","Tiffany","J","Li","S","F",70000.0,2,"Professional","2020-08-07"
11225,635,"AW00011225","Madison","D","Lee","M","F",60000.0,2,"Professional","2022-06-22"
11226,552,"AW00011226","Sydney","T","Ross","M","F",60000.0,2,"Professional","2022-02-21"
11227,310,"AW00011227","Marshall","D","Chavez","S","M",60000.0,2,"Professional","2020-08-03"
11228,316,"AW00011228","Ashley","R","Jones","M","F",60000.0,2,"Professional","2022-10-25"
11229,355,"AW00011229","Adrian","C","Stewart","S","M",70000.0,4,"Professional","2022-07-27"
11230,369,"AW00011230","Amber",NULL,"Turner","M","F",70000.0,4,"Professional","2022-07-16"
11231,611,"AW00011231","Dennis",NULL,"Zhang","M","M",60000.0,2,"Professional","2022-02-10"
11232,616,"AW00011232","Hailey","R","Bryant","M","F",60000.0,3,"Professional","2022-09-20"
11233,299,"AW00011233","Todd",NULL,"Li","M","M",70000.0,4,"Professional","2022-02-08"
11234,337,"AW00011234","Anna",NULL,"Griffin","S","F",70000.0,4,"Professional","2022-02-08"
11235,607,"AW00011235","Angel","J","Stewart","M","M",70000.0,4,"Professional","2022-07-04"
11236,609,"AW00011236","Jeremy",NULL,"Butler","S","M",70000.0,5,"Professional","2022-10-03"
11237,161,"AW00011237","Clarence","M","Anand","S","M",130000.0,2,"Management","2020-09-05"
11238,232,"AW00011238","Mayra",NULL,"Prasad","S","F",130000.0,2,"Management","2020-01-06"
11239,249,"AW00011239","Latoya","C","Goel","M","F",130000.0,2,"Professional","2020-01-19"
11240,273,"AW00011240","Anne","B","Hernandez","M","F",160000.0,2,"Professional","2020-02-27"
11241,211,"AW00011241","Lisa",NULL,"Cai","S","F",100000.0,2,"Professional","2021-09-10"
11242,209,"AW00011242","Larry",NULL,"Munoz","M","M",110000.0,2,"Professional","2021-09-19"
11243,237,"AW00011243","Robin","V","Alvarez","M","F",150000.0,2,"Professional","2020-02-21"
11244,267,"AW00011244","Alexis","M","Coleman","S","F",170000.0,2,"Management","2020-02-12"
11245,132,"AW00011245","Ricky","D","Vazquez","M","M",120000.0,3,"Professional","2020-09-26"
11246,147,"AW00011246","Latasha",NULL,"Rubio","M","F",120000.0,3,"Professional","2020-10-03"
11247,242,"AW00011247","Claudia","M","Zhou","S","F",130000.0,3,"Professional","2020-02-18"
11248,223,"AW00011248","Tristan","P","Alexander","M","M",110000.0,3,"Professional","2022-07-14"
11249,178,"AW00011249","Cindy","A","Patel","M","F",130000.0,3,"Professional","2020-10-09"
11250,276,"AW00011250","Shannon","D","Liu","M","F",170000.0,3,"Professional","2020-03-17"
11251,50,"AW00011251","Xavier",NULL,"Long","S","M",30000.0,4,"Professional","2022-10-18"
11252,335,"AW00011252","Nicholas","D","Thompson","S","M",90000.0,3,"Management","2020-08-14"
11253,69,"AW00011253","José","M","Hernandez","M","M",60000.0,2,"Management","2022-03-01"
11254,612,"AW00011254","Johnathan","W","Vance","M","M",70000.0,4,"Management","2022-11-23"
11255,612,"AW00011255","Colin",NULL,"Lin","M","M",70000.0,4,"Management","2022-02-23"
11256,626,"AW00011256","Katelyn","L","Hernandez","M","F",70000.0,4,"Management","2022-04-15"
11257,345,"AW00011257","Jacqueline",NULL,"Powell","S","F",120000.0,1,"Management","2020-08-24"
11258,352,"AW00011258","Xavier",NULL,"Hill","M","M",120000.0,1,"Management","2022-05-21"
11259,548,"AW00011259","Victoria","C","Stewart","M","F",100000.0,4,"Professional","2020-09-04"
11260,302,"AW00011260","Katelyn","L","Kelly","M","F",110000.0,2,"Management","2022-02-05"
11261,359,"AW00011261","Stephanie",NULL,"Collins","M","F",130000.0,1,"Management","2020-09-27"
11262,60,"AW00011262","Jennifer",NULL,"Simmons","M","F",80000.0,4,"Management","2022-02-27"
11263,612,"AW00011263","Trinity",NULL,"Richardson","M","F",90000.0,5,"Professional","2020-08-29"
11264,618,"AW00011264","Eduardo",NULL,"Martin","S","M",90000.0,5,"Professional","2022-01-02"
11265,623,"AW00011265","Elizabeth","P","Jones","M","F",90000.0,5,"Professional","2022-01-03"
11266,632,"AW00011266","Taylor",NULL,"Howard","S","F",90000.0,0,"Professional","2020-09-10"
11267,302,"AW00011267","David",NULL,"Diaz","S","M",120000.0,4,"Professional","2020-09-17"
11268,312,"AW00011268","Katelyn","A","Carter","M","F",130000.0,2,"Management","2022-05-29"
11269,314,"AW00011269","Ryan","W","Foster","M","M",130000.0,2,"Management","2022-08-22"
11270,334,"AW00011270","Robert","L","Lee","M","M",130000.0,2,"Management","2020-09-10"
11271,360,"AW00011271","Danielle","C","Reed","S","F",150000.0,2,"Management","2020-09-27"
11272,300,"AW00011272","Lauren","L","Martinez","S","F",70000.0,4,"Professional","2020-09-19"
11273,331,"AW00011273","Nathan","E","Lal","M","M",90000.0,2,"Professional","2022-05-14"
11274,609,"AW00011274","Kyle","M","Foster","M","M",50000.0,2,"Management","2020-08-29"
11275,310,"AW00011275","Jenny","D","Rai","M","F",80000.0,4,"Management","2020-08-30"
11276,49,"AW00011276","Nancy","E","Chapman","M","F",80000.0,4,"Professional","2022-01-29"
11277,62,"AW00011277","Charles","P","Jackson","M","M",80000.0,4,"Professional","2022-02-02"
